Time (s),ECT (uS/cm),Temperature (C)
310,457,8.1
311,457,8.1
312,463,8.1
313,464,8.1
314,468,8.1
315,472,8.1
316,472,8
317,478,8
318,481,8.1
319,483,8.1
320,485,8.1
321,485,8.1
322,490,8.1
323,491,8.1
324,493,8.1
325,496,8.1
326,496,8.1
327,500,8.1
328,503,8.1
329,505,8.1
330,506,8.1
331,506,8.1
332,510,8.1
333,511,8.1
334,513,8.1
335,514,8.1
336,514,8.1
337,515,8.1
338,515,8.1
339,516,8.1
340,517,8.1
341,517,8.1
342,519,8.1
343,520,8.1
344,521,8.1
345,520,8.1
346,520,8.1
347,520,8.1
348,521,8.1
349,521,8.1
350,522,8.1
351,522,8.1
352,522,8.1
353,522,8.1
354,521,8.1
355,521,8.1
356,520,8.1
357,520,8.1
358,519,8.1
359,517,8.1
360,517,8.1
361,517,8.2
362,515,8.2
363,513,8.2
364,512,8.2
365,511,8.2
366,510,8.2
367,510,8.2
368,509,8.2
369,509,8.2
370,508,8.1
371,508,8.1
372,507,8.1
373,507,8.1
374,506,8.1
375,505,8.1
376,502,8.1
377,502,8.1
378,500,8.1
379,500,8.1
380,498,8.1
381,498,8.1
382,496,8.1
383,494,8.2
384,492,8.2
385,491,8.2
386,491,8.2
387,489,8.2
388,489,8.1
389,489,8.1
390,487,8.1
391,487,8.1
392,484,8.1
393,483,8.1
394,481,8.1
395,480,8.1
396,477,8.1
397,477,8.1
398,475,8.1
399,474,8.1
400,473,8.2
401,473,8.2
402,470,8.2
403,469,8.2
404,468,8.2
405,466,8.2
406,465,8.1
407,465,8.2
408,463,8.2
409,463,8.2
410,462,8.1
411,462,8.1
412,460,8.1
413,458,8.1
414,457,8.2
415,455,8.2
416,453,8.2
417,453,8.2
418,452,8.2
419,451,8.2
420,449,8.1
421,449,8.1
422,447,8.1
423,447,8.2
424,446,8.1
425,446,8.1
426,443,8.1
427,443,8.1
428,442,8.1
429,442,8.1
430,440,8.1
431,440,8.1
432,438,8.1
433,437,8.1
434,436,8.1
435,435,8.1
436,433,8.1
437,433,8.1
438,432,8.1
439,430,8.1
440,430,8.1
441,430,8.1
442,428,8.1
443,427,8.1
444,427,8.1
445,426,8.1
446,425,8.1
447,425,8.1
448,423,8.1
449,423,8.1
450,421,8.1
451,421,8.1
452,419,8.1
453,419,8.1
454,418,8.2
455,417,8.2
456,416,8.2
457,416,8.2
458,415,8.2
459,415,8.2
460,414,8.2
461,413,8.1
462,412,8.1
463,411,8.1
464,410,8.2
465,409,8.2
466,409,8.2
467,408,8.2
468,407,8.1
469,406,8.1
470,406,8.1
471,404,8.2
472,404,8.1
473,403,8.2
474,402,8.2
475,401,8.2
476,401,8.2
477,399,8.2
478,399,8.1
479,399,8.1
480,399,8.1
481,397,8.1
482,397,8.1
483,396,8.1
484,396,8.1
485,395,8.1
486,395,8.1
487,394,8.1
488,393,8.1
489,391,8.2
490,391,8.2
491,390,8.2
492,389,8.2
493,389,8.2
494,389,8.2
495,388,8.1
496,388,8.1
497,388,8.1
498,387,8.1
499,386,8.1
500,386,8.1
501,386,8.1
502,384,8.1
503,384,8.1
504,384,8.1
505,383,8.2
506,382,8.2
507,381,8.2
508,381,8.2
509,381,8.2
510,380,8.2
511,379,8.2
512,378,8.2
513,378,8.2
514,377,8.2
515,376,8.2
516,376,8.1
517,376,8.1
518,376,8.1
519,375,8.1
520,375,8.1
521,374,8.1
522,374,8.1
523,373,8.1
524,373,8.1
525,371,8.2
526,371,8.2
527,370,8.2
528,370,8.2
529,369,8.2
530,368,8.2
531,367,8.2
532,367,8.2
533,367,8.2
534,367,8.2
535,366,8.2
536,366,8.2
537,365,8.1
538,365,8.1
539,365,8.2
540,363,8.2
541,363,8.2
542,363,8.2
543,363,8.2
544,362,8.2
545,363,8.2
546,362,8.2
547,362,8.2
548,362,8.1
549,361,8.1
550,361,8.1
551,360,8.1
552,360,8.1
553,358,8.1
554,358,8.2
555,357,8.2
556,357,8.2
557,358,8.2
558,357,8.2
559,357,8.2
560,357,8.2
561,357,8.1
562,357,8.1
563,356,8.1
564,356,8.1
565,355,8.1
566,355,8.1
567,355,8.1
568,354,8.2
569,354,8.2
570,353,8.2
571,353,8.2
572,353,8.2
573,352,8.2
574,352,8.2
575,352,8.2
576,352,8.2
577,351,8.2
578,351,8.2
579,351,8.2
580,350,8.2
581,350,8.3
582,350,8.3
583,350,8.2
584,350,8.2
585,350,8.2
586,350,8.1
587,349,8.1
588,349,8.1
589,349,8.1
590,349,8.1
591,349,8.1
592,348,8.1
593,348,8.1
594,348,8.2
595,347,8.2
596,346,8.2
597,346,8.2
598,346,8.2
599,346,8.2
600,346,8.1
601,346,8.1
602,346,8.1
603,346,8.1
604,346,8.1
605,345,8.1
606,345,8.1
607,345,8.1
608,344,8.1
609,344,8.1
610,344,8.2
611,344,8.1
612,344,8.2
613,344,8.1
614,344,8.1
615,343,8.2
616,343,8.2
617,343,8.2
618,342,8.2
619,343,8.2
620,343,8.2
621,342,8.2
622,342,8.2
623,343,8.2
624,342,8.1
625,342,8.1
626,342,8.1
627,342,8.1
628,341,8.2
629,341,8.2
630,341,8.2
631,341,8.2
632,341,8.2
633,341,8.2
634,341,8.2
635,341,8.2
636,341,8.2
637,340,8.2
638,340,8.2
639,340,8.2
640,340,8.2
641,340,8.2
642,340,8.2
643,340,8.2
644,340,8.2
645,340,8.2
646,339,8.2
647,339,8.2
648,339,8.2
649,339,8.2
650,339,8.2
651,339,8.2
652,339,8.2
653,339,8.2
654,339,8.2
655,339,8.2
656,339,8.2
657,339,8.2
658,339,8.2
659,339,8.2
660,339,8.2
661,339,8.1
662,338,8.2
663,338,8.2
664,338,8.2
665,338,8.2
666,337,8.2
667,338,8.2
668,338,8.2
669,337,8.2
670,338,8.2
671,338,8.2
672,338,8.2
673,337,8.2
674,337,8.1
675,337,8.2
676,337,8.1
677,337,8.1
678,337,8.2
679,337,8.2
680,337,8.2
681,336,8.2
682,336,8.2
683,337,8.2
684,336,8.2
685,336,8.2
686,337,8.2
687,337,8.2
688,337,8.2
689,337,8.1
690,337,8.2
